STATE,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING,THEFT,DOWRY_DEATHS,OTHER_CRIMES,TOTAL_CRIMES
19,369,2012,227,127,51,1420,33,8717,10575
19,371,2012,7,3,1,678,0,286,975
19,406,2012,44,62,25,302,0,1998,2431
19,457,2012,58,58,18,359,12,2878,3383
19,463,2012,47,66,8,386,6,2328,2841
19,466,2012,89,67,20,541,30,3424,4171
19,557,2012,41,75,8,151,3,1997,2275
19,558,2012,86,49,34,467,6,2827,3469
19,579,2012,163,32,35,627,29,4545,5431
19,619,2012,93,71,16,332,16,2843,3371
19,628,2012,35,25,12,322,4,1785,2183
19,657,2012,49,34,8,146,18,1979,2234
19,710,2012,96,92,21,349,22,3627,4207
19,712,2012,76,90,52,536,6,3952,4712
19,727,2012,92,72,28,466,13,2749,3420
19,731,2012,98,92,44,1046,39,4179,5498
19,742,2012,172,125,63,911,34,7971,9276
19,764,2012,110,89,29,824,17,4338,5407
19,771,2012,50,65,10,203,11,2389,2728
19,773,2012,57,81,27,367,13,2830,3375
19,775,2012,83,67,18,474,7,2701,3350
19,779,2012,23,17,4,166,5,1132,1347
19,782,2012,115,104,29,417,9,4294,4968
19,790,2012,40,48,40,293,18,2129,2568
19,791,2012,59,69,14,521,10,3221,3894
19,798,2012,45,32,36,192,13,2075,2393
19,865,2012,70,61,13,220,16,2922,3302
19,890,2012,248,73,36,1448,11,6470,8286
19,893,2012,15,22,4,130,0,1091,1262
19,909,2012,120,94,25,528,19,3837,4623
19,872,2012,4705,3425,1302,35141,743,175019,220335
20,9,2012,202,61,59,2117,23,4784,7246
20,13,2012,76,19,22,917,4,2404,3442
20,28,2012,62,20,20,1064,1,1546,2713
20,29,2012,119,64,17,1092,3,3147,4442
20,51,2012,101,23,25,1292,4,2214,3659
20,52,2012,123,25,16,791,18,2589,3562
20,95,2012,155,42,50,900,8,2944,4099
20,111,2012,31,26,11,602,3,1346,2019
20,144,2012,87,29,31,693,27,2630,3497
20,167,2012,77,44,34,1026,4,2578,3763
20,247,2012,89,30,18,532,4,1869,2542
20,289,2012,126,18,9,219,0,609,981
20,313,2012,69,38,10,431,0,1224,1772
20,344,2012,41,13,10,170,6,1151,1391
20,389,2012,179,45,43,1217,1,3469,4954
20,390,2012,114,25,25,687,36,2164,3051
20,487,2012,102,48,45,1243,17,3099,4554
20,524,2012,130,21,32,646,4,2404,3237
20,584,2012,385,232,212,14482,11,15186,30508
20,586,2012,11,1,7,2062,1,243,2325
20,606,2012,173,57,53,3713,6,4275,8277
20,608,2012,10,1,2,1141,0,138,1292
20,609,2012,85,29,15,1114,7,2372,3622
20,615,2012,138,48,37,840,25,3580,4668
20,616,2012,52,19,10,250,0,1027,1358
20,620,2012,58,20,18,1589,3,2702,4390
20,621,2012,150,46,29,921,17,4053,5216
20,623,2012,77,36,19,2526,3,2496,5157
20,643,2012,85,38,31,512,2,2387,3055
20,661,2012,97,28,31,729,3,1948,2836
20,687,2012,234,85,109,5931,9,5940,12308
20,689,2012,4,2,1,385,0,53,445
20,690,2012,260,92,71,2830,12,5168,8433
20,699,2012,53,21,8,513,19,1545,2159
20,728,2012,22,11,4,373,2,986,1398
20,755,2012,88,33,35,724,8,1895,2783
20,763,2012,113,43,36,1824,0,3026,5042
20,797,2012,15,9,8,189,0,582,803
20,808,2012,45,25,24,842,1,1055,1992
20,809,2012,144,67,38,1167,3,3057,4476
20,849,2012,203,107,124,4391,4,5315,10144
20,850,2012,220,63,64,2577,6,3989,6919
20,928,2012,62,40,26,952,0,2484,3564
